trade_id,entry_odds,p_win_raw,p_win_clamped,kelly_raw,kelly_final,bet_size,outcome,gross_payout,net_payout_after_fee,capital_after,trailing_wr_20,circuit_breaker_active
17,0.1100,0.2712,0.2712,0.1811,0.0453,2.2765,LOSS,-2.2765,-2.2765,48.0034,0.3529,False
18,0.2500,0.2712,0.2712,0.0282,0.0071,0.3390,LOSS,-0.3390,-0.3390,47.6644,0.3333,False
19,0.2600,0.2712,0.2712,0.0151,0.0038,0.1801,LOSS,-0.1801,-0.1801,47.4842,0.3158,False
20,0.2300,0.2712,0.2712,0.0535,0.0134,0.6350,LOSS,-0.6350,-0.6350,46.8493,0.3000,False
21,0.2200,0.2712,0.2712,0.0656,0.0164,0.7686,LOSS,-0.7686,-0.7686,46.0807,0.3000,False
22,0.2300,0.2712,0.2712,0.0535,0.0134,0.6162,LOSS,-0.6162,-0.6162,45.4645,0.3000,False
23,0.1600,0.2712,0.2712,0.1324,0.0331,1.5045,LOSS,-1.5045,-1.5045,43.9600,0.2500,False
24,0.2400,0.2712,0.2712,0.0410,0.0103,0.4510,LOSS,-0.4510,-0.4510,43.5090,0.2000,False
25,0.2300,0.2712,0.2712,0.0535,0.0134,0.5818,LOSS,-0.5818,-0.5818,42.9272,0.1500,False
26,0.1700,0.2712,0.2712,0.1219,0.0305,1.3083,LOSS,-1.3083,-1.3083,41.6189,0.1500,False
27,0.0900,0.2712,0.2712,0.1991,0.0498,2.0716,LOSS,-2.0716,-2.0716,39.5472,0.1000,False
28,0.2300,0.2712,0.2712,0.0535,0.0134,0.5288,LOSS,-0.5288,-0.5288,39.0184,0.0500,False
29,0.1600,0.2712,0.2712,0.1324,0.0331,1.2912,LOSS,-1.2912,-1.2912,37.7272,0.0500,False
30,0.2600,0.2712,0.2712,0.0151,0.0038,0.1426,LOSS,-0.1426,-0.1426,37.5847,0.0500,False
31,0.0900,0.2712,0.2712,0.1991,0.0498,1.8708,LOSS,-1.8708,-1.8708,35.7138,,False
32,0.2200,0.2712,0.2712,0.0656,0.0164,0.5859,LOSS,-0.5859,-0.5859,35.1279,,False
33,0.5600,0.7308,0.7308,0.3881,0.0970,3.4084,LOSS,-3.4084,-3.4084,31.7195,,False
34,0.6600,0.7949,0.7949,0.3967,0.0992,3.1456,WIN,1.6205,1.6205,33.3400,0.0500,False
35,0.2600,0.2712,0.2712,0.0151,0.0038,0.1260,LOSS,-0.1260,-0.1260,33.2140,0.0500,False
36,0.2600,0.2712,0.2712,0.0151,0.0038,0.1255,LOSS,-0.1255,-0.1255,33.0885,0.0500,False
37,0.1300,0.2712,0.2712,0.1623,0.0406,1.3424,LOSS,-1.3424,-1.3424,31.7461,0.0500,False
38,0.6400,0.7949,0.7949,0.4302,0.1000,3.1746,WIN,1.7857,1.7857,33.5318,0.1000,False
39,0.6300,0.7143,0.7143,0.2278,0.0569,1.9096,WIN,1.1215,1.1215,34.6533,0.1500,False
40,0.2200,0.2712,0.2712,0.0656,0.0164,0.5685,LOSS,-0.5685,-0.5685,34.0848,0.1500,False
41,0.2000,0.2712,0.2712,0.0890,0.0222,0.7582,LOSS,-0.7582,-0.7582,33.3265,0.1500,False
42,0.2500,0.2712,0.2712,0.0282,0.0071,0.2354,LOSS,-0.2354,-0.2354,33.0912,0.1500,False
43,0.2200,0.2712,0.2712,0.0656,0.0164,0.5429,LOSS,-0.5429,-0.5429,32.5483,0.1500,False
44,0.1800,0.2712,0.2712,0.1112,0.0278,0.9049,LOSS,-0.9049,-0.9049,31.6434,0.1500,False
45,0.2100,0.2712,0.2712,0.0775,0.0194,0.6127,LOSS,-0.6127,-0.6127,31.0307,0.1500,False
46,0.6700,0.8333,0.8333,0.4949,0.1000,3.1031,WIN,1.5284,1.5284,32.5591,0.2000,False
47,0.7100,0.8333,0.8333,0.4253,0.1000,3.2559,WIN,1.3299,1.3299,33.8890,0.2500,False
48,0.6400,0.7949,0.7949,0.4302,0.1000,3.3889,WIN,1.9063,1.9063,35.7952,0.3000,False
49,0.6500,0.7949,0.7949,0.4139,0.1000,3.5795,WIN,1.9274,1.9274,37.7227,0.3500,False
50,0.5900,0.7949,0.7949,0.4997,0.1000,3.7723,WIN,2.6214,2.6214,40.3441,0.4000,False
51,0.7300,0.7949,0.7949,0.2403,0.0601,2.4233,WIN,0.8963,0.8963,41.2404,0.4500,False
52,0.7000,0.7949,0.7949,0.3162,0.0791,3.2605,WIN,1.3973,1.3973,42.6377,0.5000,False
53,0.7200,0.7949,0.7949,0.2674,0.0668,2.8503,LOSS,-2.8503,-2.8503,39.7874,0.5000,False
54,0.6500,0.7949,0.7949,0.4139,0.1000,3.9787,WIN,2.1424,2.1424,41.9298,0.5000,False
55,0.6900,0.7308,0.7308,0.1315,0.0329,1.3786,WIN,0.6194,0.6194,42.5491,0.5500,False
56,0.7000,0.7308,0.7308,0.1026,0.0256,1.0910,WIN,0.4676,0.4676,43.0167,0.6000,False
57,0.7300,0.7949,0.7949,0.2403,0.0601,2.5839,WIN,0.9557,0.9557,43.9724,0.6500,False
58,0.7200,0.7949,0.7949,0.2674,0.0668,2.9395,LOSS,-2.9395,-2.9395,41.0328,0.6000,False
59,0.7400,0.7949,0.7949,0.2110,0.0528,2.1649,WIN,0.7607,0.7607,41.7935,0.6000,False
60,0.5300,0.7949,0.7949,0.5636,0.1000,4.1794,LOSS,-4.1794,-4.1794,37.6142,0.6000,False
61,0.1000,0.2712,0.2712,0.1902,0.0476,1.7886,LOSS,-1.7886,-1.7886,35.8255,0.6000,False
