trade_id,zone_id,entry_odds,bet_size,pnl,outcome,capital_before,capital_after,entry_time,resolution_time
196,A7,0.38,2.0,3.1115789473684217,WIN,25.811678877324816,28.923257824693238,2026-04-27 13:02:15.531152+00:00,2026-04-27 13:05:00.022360+00:00
203,A5,0.55,7.0,5.33909090909091,WIN,28.923257824693238,34.26234873378415,2026-04-27 13:12:36.952664+00:00,2026-04-27 13:15:00.012142+00:00
204,A4,0.65,7.0,3.429999999999998,WIN,34.26234873378415,37.69234873378415,2026-04-27 13:12:46.976826+00:00,2026-04-27 13:15:00.015547+00:00
207,A8,0.63,8.0,-8.0,LOSS,37.69234873378415,29.69234873378415,2026-04-27 13:31:09.748730+00:00,2026-04-27 13:35:00.013199+00:00
211,A4,0.69,9.0,3.627391304347828,WIN,29.69234873378415,33.31974003813198,2026-04-27 13:32:10.369666+00:00,2026-04-27 13:35:00.024427+00:00
215,A4,0.68,5.0,2.1191176470588227,WIN,33.31974003813198,35.438857685190804,2026-04-27 13:33:20.658845+00:00,2026-04-27 13:35:00.013627+00:00
217,A8,0.64,7.0,3.5940624999999997,WIN,35.438857685190804,39.032920185190804,2026-04-27 13:36:00.837607+00:00,2026-04-27 13:40:00.013482+00:00
228,A6,0.87,9.0,0.9962068965517226,WIN,39.032920185190804,40.02912708174253,2026-04-27 13:41:51.561986+00:00,2026-04-27 13:45:00.016329+00:00
239,A8,0.59,8.0,5.140338983050848,WIN,40.02912708174253,45.169466064793376,2026-04-27 14:06:05.631461+00:00,2026-04-27 14:10:00.018784+00:00
240,A8,0.63,8.0,4.3009523809523795,WIN,45.169466064793376,49.47041844574576,2026-04-27 14:06:15.672057+00:00,2026-04-27 14:10:00.024351+00:00
241,A6,0.92,8.0,0.3982608695652168,WIN,49.47041844574576,49.86867931531097,2026-04-27 14:06:35.731714+00:00,2026-04-27 14:10:00.015807+00:00
262,A8,0.6,11.0,6.765000000000001,WIN,49.86867931531097,56.63367931531097,2026-04-27 14:31:08.874474+00:00,2026-04-27 14:35:00.015605+00:00
267,A4,0.55,14.0,-14.0,LOSS,56.63367931531097,42.63367931531097,2026-04-27 14:42:30.858112+00:00,2026-04-27 14:45:00.011517+00:00
272,A6,0.87,10.0,1.1068965517241374,WIN,42.63367931531097,43.740575867035105,2026-04-27 14:56:12.599072+00:00,2026-04-27 15:00:00.017273+00:00
273,A6,0.85,10.0,1.3705882352941163,WIN,43.740575867035105,45.11116410232922,2026-04-27 14:56:22.625312+00:00,2026-04-27 15:00:00.016289+00:00
279,A6,0.82,11.0,1.9692682926829264,WIN,45.11116410232922,47.080432395012146,2026-04-27 15:06:05.220725+00:00,2026-04-27 15:10:00.017565+00:00
280,A6,0.86,11.0,1.3609302325581396,WIN,47.080432395012146,48.441362627570285,2026-04-27 15:06:15.273972+00:00,2026-04-27 15:10:00.022257+00:00
281,A6,0.88,5.0,0.4897727272727277,WIN,48.441362627570285,48.931135354843015,2026-04-27 15:06:35.323268+00:00,2026-04-27 15:10:00.013423+00:00
285,A8,0.62,10.0,5.625806451612904,WIN,48.931135354843015,54.55694180645592,2026-04-27 15:16:06.544974+00:00,2026-04-27 15:20:00.014369+00:00
286,A8,0.6,10.0,6.149999999999999,WIN,54.55694180645592,60.706941806455916,2026-04-27 15:16:16.574029+00:00,2026-04-27 15:20:00.014394+00:00
287,A8,0.61,9.0,5.295245901639346,WIN,60.706941806455916,66.00218770809526,2026-04-27 15:16:26.595252+00:00,2026-04-27 15:20:00.013852+00:00
291,A6,0.85,16.0,2.192941176470587,WIN,66.00218770809526,68.19512888456585,2026-04-27 15:21:57.606199+00:00,2026-04-27 15:25:00.016022+00:00
295,A3,0.29,7.0,-7.0,LOSS,68.19512888456585,61.19512888456585,2026-04-27 18:31:56.864772+00:00,2026-04-27 18:35:00.015493+00:00
301,A3,0.32,6.0,12.221250000000001,WIN,61.19512888456585,73.41637888456584,2026-04-27 18:36:27.310427+00:00,2026-04-27 18:40:00.016204+00:00
