trade_id,zone_id,entry_odds,bet_size,pnl,outcome,capital_before,capital_after,entry_time
193,A4,0.66,3.0,1.4018,WIN,45.58,46.98,2026-04-27 12:57:34.934065+00:00
196,A7,0.38,3.0,4.6674,WIN,46.98,51.65,2026-04-27 13:02:15.531152+00:00
203,A5,0.55,7.0,5.3391,WIN,51.65,56.99,2026-04-27 13:12:36.952664+00:00
204,A4,0.65,7.0,3.43,WIN,56.99,60.42,2026-04-27 13:12:46.976826+00:00
207,A8,0.63,9.0,-9.0,LOSS,60.42,51.42,2026-04-27 13:31:09.748730+00:00
211,A4,0.69,9.0,3.6274,WIN,51.42,55.04,2026-04-27 13:32:10.369666+00:00
215,A4,0.68,9.0,3.8144,WIN,55.04,58.86,2026-04-27 13:33:20.658845+00:00
217,A8,0.64,8.0,4.1075,WIN,58.86,62.97,2026-04-27 13:36:00.837607+00:00
228,A6,0.87,9.0,0.9962,WIN,62.97,63.96,2026-04-27 13:41:51.561986+00:00
239,A8,0.59,9.0,5.7829,WIN,63.96,69.75,2026-04-27 14:06:05.631461+00:00
240,A8,0.63,9.0,4.8386,WIN,69.75,74.58,2026-04-27 14:06:15.672057+00:00
241,A6,0.92,9.0,0.448,WIN,74.58,75.03,2026-04-27 14:06:35.731714+00:00
262,A8,0.6,11.0,6.765,WIN,75.03,81.8,2026-04-27 14:31:08.874474+00:00
267,A4,0.55,12.0,-12.0,LOSS,81.8,69.8,2026-04-27 14:42:30.858112+00:00
272,A6,0.87,9.0,0.9962,WIN,69.8,70.79,2026-04-27 14:56:12.599072+00:00
273,A6,0.85,9.0,1.2335,WIN,70.79,72.03,2026-04-27 14:56:22.625312+00:00
279,A6,0.82,10.0,1.7902,WIN,72.03,73.82,2026-04-27 15:06:05.220725+00:00
280,A6,0.86,10.0,1.2372,WIN,73.82,75.05,2026-04-27 15:06:15.273972+00:00
281,A6,0.88,10.0,0.9795,WIN,75.05,76.03,2026-04-27 15:06:35.323268+00:00
285,A8,0.62,11.0,6.1884,WIN,76.03,82.22,2026-04-27 15:16:06.544974+00:00
286,A8,0.6,11.0,6.765,WIN,82.22,88.99,2026-04-27 15:16:16.574029+00:00
287,A8,0.61,11.0,6.472,WIN,88.99,95.46,2026-04-27 15:16:26.595252+00:00
291,A6,0.85,14.0,1.9188,WIN,95.46,97.38,2026-04-27 15:21:57.606199+00:00
295,A3,0.29,2.0,-2.0,LOSS,97.38,95.38,2026-04-27 18:31:56.864772+00:00
301,A3,0.32,2.0,4.0738,WIN,95.38,99.45,2026-04-27 18:36:27.310427+00:00
306,A3,0.28,2.0,-2.0,LOSS,99.45,97.45,2026-04-27 18:46:08.705832+00:00
316,A7,0.27,7.0,-7.0,LOSS,97.45,90.45,2026-04-27 18:58:20.457179+00:00
323,A7,0.38,6.0,9.3347,WIN,90.45,99.79,2026-04-27 19:17:13.343881+00:00
335,A5,0.55,14.0,-14.0,LOSS,99.79,85.79,2026-04-27 19:37:05.941953+00:00
337,A6,0.9,11.0,0.8067,WIN,85.79,86.59,2026-04-27 19:41:06.360676+00:00
338,A6,0.93,11.0,0.4223,WIN,86.59,87.02,2026-04-27 19:41:26.398586+00:00
343,A5,0.55,13.0,9.9155,WIN,87.02,96.93,2026-04-27 19:52:08.107624+00:00
344,A4,0.62,13.0,7.3135,WIN,96.93,104.24,2026-04-27 19:52:48.214267+00:00
351,A8,0.66,15.0,-15.0,LOSS,104.24,89.24,2026-04-27 20:06:30.339441+00:00
352,A8,0.67,15.0,-15.0,LOSS,89.24,74.24,2026-04-27 20:06:40.376587+00:00
378,A4,0.59,8.0,-8.0,LOSS,74.24,66.24,2026-04-27 20:52:27.263689+00:00
379,A4,0.63,8.0,-8.0,LOSS,66.24,58.24,2026-04-27 20:52:47.315597+00:00
381,A4,0.55,8.0,-8.0,LOSS,58.24,50.24,2026-04-27 20:53:07.688848+00:00
387,A4,0.56,3.0,2.1932,WIN,50.24,52.44,2026-04-27 20:57:18.084536+00:00
389,A4,0.66,3.0,1.4018,WIN,52.44,53.84,2026-04-27 20:57:38.146508+00:00
390,A4,0.59,3.0,1.9276,WIN,53.84,55.77,2026-04-27 20:57:48.180069+00:00
401,A7,0.32,4.0,-4.0,LOSS,55.77,51.77,2026-04-27 21:08:19.683093+00:00
402,A7,0.36,4.0,-4.0,LOSS,51.77,47.77,2026-04-27 21:08:29.706113+00:00
412,A7,0.35,3.0,5.3271,WIN,47.77,53.09,2026-04-27 21:22:41.172436+00:00
413,A7,0.33,3.0,5.8336,WIN,53.09,58.93,2026-04-27 21:23:11.239141+00:00
414,A4,0.64,5.0,-5.0,LOSS,58.93,53.93,2026-04-27 21:23:21.260511+00:00
417,A3,0.3,1.0,-1.0,LOSS,53.93,52.93,2026-04-27 21:26:21.484196+00:00
432,A8,0.63,6.0,-6.0,LOSS,52.93,46.93,2026-04-27 21:36:52.920712+00:00
443,A7,0.35,2.0,-2.0,LOSS,46.93,44.93,2026-04-27 21:42:23.558053+00:00
444,A4,0.58,4.0,-4.0,LOSS,44.93,40.93,2026-04-27 21:42:53.702534+00:00
446,A7,0.36,2.0,-2.0,LOSS,40.93,38.93,2026-04-27 21:43:13.745195+00:00
453,A8,0.67,2.0,0.8904,WIN,38.93,39.82,2026-04-27 22:01:26.237980+00:00
454,A8,0.67,2.0,0.8904,WIN,39.82,40.71,2026-04-27 22:01:36.266932+00:00
455,A8,0.64,2.0,1.0269,WIN,40.71,41.74,2026-04-27 22:01:46.291048+00:00
462,A8,0.68,6.0,2.5429,WIN,41.74,44.28,2026-04-27 22:06:16.889466+00:00
467,A7,0.29,3.0,-3.0,LOSS,44.28,41.28,2026-04-27 22:12:27.948359+00:00
482,A4,0.62,5.0,2.8129,WIN,41.28,44.09,2026-04-27 22:23:29.318972+00:00
486,A8,0.6,6.0,3.69,WIN,44.09,47.78,2026-04-27 22:26:39.536361+00:00
503,A4,0.63,7.0,3.7633,WIN,47.78,51.54,2026-04-27 22:37:10.749869+00:00
504,A4,0.59,7.0,4.4978,WIN,51.54,56.04,2026-04-27 22:37:20.767319+00:00
506,A4,0.56,7.0,5.1175,WIN,56.04,61.16,2026-04-27 22:37:50.886509+00:00
514,A4,0.66,9.0,4.2055,WIN,61.16,65.37,2026-04-27 22:42:51.717672+00:00
519,A8,0.55,9.0,6.8645,WIN,65.37,72.23,2026-04-27 22:46:12.009735+00:00
520,A8,0.57,9.0,6.3047,WIN,72.23,78.53,2026-04-27 22:46:22.028468+00:00
521,A8,0.68,9.0,3.8144,WIN,78.53,82.35,2026-04-27 22:46:32.052564+00:00
533,A7,0.33,6.0,-6.0,LOSS,82.35,76.35,2026-04-27 22:53:23.016409+00:00
536,A7,0.31,5.0,-5.0,LOSS,76.35,71.35,2026-04-27 22:57:03.354575+00:00
537,A7,0.38,5.0,-5.0,LOSS,71.35,66.35,2026-04-27 22:57:23.417248+00:00
545,A4,0.64,6.0,3.0806,WIN,66.35,69.43,2026-04-27 23:12:05.420043+00:00
546,A4,0.65,6.0,2.94,WIN,69.43,72.37,2026-04-27 23:12:15.446303+00:00
547,A4,0.55,6.0,4.5764,WIN,72.37,76.95,2026-04-27 23:12:25.468712+00:00
556,A6,0.92,11.0,0.5476,WIN,76.95,77.49,2026-04-27 23:16:55.913766+00:00
582,A7,0.36,6.0,10.19,WIN,77.49,87.68,2026-04-27 23:37:08.639283+00:00
586,A4,0.58,13.0,8.7234,WIN,87.68,96.41,2026-04-27 23:48:11.040704+00:00
598,A8,0.65,14.0,-14.0,LOSS,96.41,82.41,2026-04-28 00:11:04.709458+00:00
599,A8,0.68,14.0,-14.0,LOSS,82.41,68.41,2026-04-28 00:11:14.731615+00:00
608,A8,0.58,8.0,-8.0,LOSS,68.41,60.41,2026-04-28 00:16:15.528321+00:00
629,A7,0.29,3.0,-3.0,LOSS,60.41,57.41,2026-04-28 00:28:16.911264+00:00
641,A8,0.62,5.0,2.8129,WIN,57.41,60.22,2026-04-28 00:36:07.974734+00:00
649,A8,0.6,9.0,5.535,WIN,60.22,65.76,2026-04-28 00:41:08.616700+00:00
