trade_index,equity
144,96.1506590576675
145,106.82884087584932
146,113.68884087584932
147,124.36702269403114
148,113.36702269403114
149,102.36702269403114
150,111.7017595361364
151,120.70304985871704
152,110.70304985871704
153,102.70304985871704
154,109.76337772756949
155,100.76337772756949
156,109.48682600343156
157,116.80037439052833
158,124.4490629151185
159,136.0148256269829
160,141.13950095165825
161,121.13950095165825
162,101.13950095165825
163,106.74677367893098
164,108.5178081616896
165,115.99417179805323
166,123.47053543441686
167,120.47053543441686
168,104.47053543441686
169,117.47406484618156
170,108.47406484618156
171,106.47406484618156
172,110.74438742682672
173,115.22438742682672
174,106.22438742682672
175,92.22438742682672
176,116.17711469955401
177,126.63211469955401
178,123.63211469955401
179,111.63211469955401
180,118.30680219955401
181,128.308933347095
182,125.308933347095
183,116.308933347095
184,107.308933347095
185,106.308933347095
186,105.308933347095
187,104.308933347095
188,103.308933347095
189,99.308933347095
190,95.308933347095
191,91.308933347095
192,95.97630176814764
193,81.97630176814764
194,93.64357449542037
195,91.64357449542037
196,79.64357449542037
197,78.64357449542037
198,74.64357449542037
199,73.64357449542037
200,72.64357449542037
201,89.11357449542037
202,100.48952044136631
203,91.48952044136631
204,82.48952044136631
205,84.96166329850917
206,87.56277440962027
207,106.93755701831593
208,96.93755701831593
209,86.93755701831593
210,97.12193201831593
211,103.98193201831593
212,110.21506634667413
213,115.85767504232632
214,106.85767504232632
215,92.85767504232632
216,102.19241188443158
217,105.58907855109824
218,109.14050712252681
219,93.14050712252681
220,100.20083499137928
221,108.97369213423642
222,119.71024385837435
223,102.71024385837435
224,92.71024385837435
225,86.71024385837435
226,81.71024385837435
227,76.71024385837435
228,86.39763516272218
229,78.39763516272218
230,72.39763516272218
231,76.69858754367456
232,81.40547278957621
233,85.14365460775802
234,77.14365460775802
235,75.14365460775802
236,79.26523355512644
237,93.71523355512645
238,85.71523355512645
239,77.71523355512645
240,78.94876296689115
241,79.09560507215431
242,68.09560507215431
243,63.095605072154314
244,59.095605072154314
245,56.095605072154314
246,54.095605072154314
247,55.87650059454237
248,61.01683957759322
249,65.93683957759322
250,56.93683957759322
251,47.93683957759322
252,42.93683957759322
253,37.93683957759322
254,39.208310165828514
255,40.67831016582851
256,39.67831016582851
257,42.36640540392375
258,42.5298096592429
259,45.13092077035401
260,65.46592077035402
261,59.46592077035402
262,61.70592077035402
263,60.70592077035402
264,59.70592077035402
265,58.70592077035402
266,57.70592077035402
267,61.421214888001074
268,59.421214888001074
269,58.421214888001074
270,57.421214888001074
271,63.53183988800107
272,62.53183988800107
273,61.53183988800107
274,64.80274897891016
275,69.64132040748159
276,67.64132040748159
277,62.64132040748159
278,57.64132040748159
279,60.312663691063676
280,61.66909226249224
281,62.66529915904397
282,68.44818051497617
283,69.42772596952163
284,71.36476300655866
285,73.15500690899768
286,80.46572119471196
287,93.90572119471196
288,91.90572119471196
