market_id,yes_price_t0,no_price_t0,clob_spread_t0,yes_depth_t0,no_depth_t0,depth_imbalance_t0,price_velocity_30s,depth_trend_30s,btc_realized_vol_prior_30m,ttr_at_signal,market_hour_utc,day_of_week,label,token_side,oof_prob
0x0208424234db6fcd1564e199b5553bb1f3a5e08e3fa8c2e1339438e078377ddb,0.495,0.495,0.010000000000000009,100.0,100.0,0.0,-0.002017828505415707,1,0.11878083439258616,297.0,9,4,1,YES,0.5802079439163208
0x0225ea892b4dcd32718989aba8db8d62b4a3b6256ba52369b19cbb2ad23eec6b,0.5,0.48,0.020000000000000018,325.83,67.02,0.6588010691103475,0.0027976920159944875,1,0.11619435419213771,293.4,10,3,1,YES,0.6454848647117615
0x022848a95bce7fc0188cd906a6e3be218bb4da84df7bdf88c15743924985288c,0.52,0.45999999999999996,0.020000000000000018,218.76,37.27,0.7088622427059329,-0.0048784869944066755,1,0.1249037565236192,294.0,20,6,1,NO,0.7477847337722778
0x02308c8289a3064448f60678dd15be2ab75f79b4266aca87e4ac50d93a339962,0.41000000000000003,0.55,0.03999999999999998,83.4,29.59,0.476236835118152,0.005997539329563867,1,0.13559620632167838,298.2,21,5,1,YES,0.730569064617157
0x023ce9d8a8b792fea3d2240a67c3ad0196153cc4c9459c523406c4616ca30a20,0.48,0.51,0.010000000000000009,32.49,118.06,-0.5683825971438059,-0.004797743525265197,1,0.07309115541154784,293.4,14,5,1,NO,0.45814278721809387
0x0249419191be943e4a4e15214b5d42d334a706fadafa38a9723747609c6be6fc,0.54,0.43999999999999995,0.020000000000000018,115.79,138.15,-0.08805229581790974,-0.0017780213096249091,-1,0.03635792532828593,298.2,1,4,1,YES,0.3938091993331909
0x0249e4f18145477ae413f4521c3b870a00f843673bf3d45e37f8837917a45fe3,0.54,0.43999999999999995,0.020000000000000018,612.66,10.17,0.9673426135542605,-0.0015992153609752924,-1,0.18020603983213201,296.40000000000003,2,4,1,NO,0.5775070786476135
0x02505310766b9d5f244db80d6309135b5df84ebbc21b0b385322d22efef99c78,0.51,0.48,0.010000000000000009,82.83,108.49,-0.13412084465816432,0.00039982410937780283,1,0.05117356912718899,297.0,11,3,0,NONE,0.3826984763145447
0x0265836d4e8ef495ef27fd07d57129cba297406f798f198b01ab1b6d88eee237,0.495,0.495,0.010000000000000009,100.0,100.0,0.0,0.0038504350221488016,1,0.08511904913268546,298.2,12,2,0,NONE,0.5157254934310913
0x0270fe4d3c6dd6972d7c2a668032b51112047ca67afb1dda61a2828b3b77002d,0.51,0.48,0.010000000000000009,37.36,89.33,-0.41021390796432233,0.005997457797588754,1,0.12545808468432088,296.40000000000003,20,6,1,YES,0.5732876658439636
0x027de8f72a65504086bb3f7588a10ea1a9fbe1a216e5737280104dda951a5b96,0.61,0.39,0.0,64.3,118.08,-0.2948788244325036,-0.0067971245444327245,1,0.1520176018289421,297.6,17,5,1,YES,0.5438515543937683
0x02aa02d56d74a79256fd8779dd2bf957b8a3d74819ef493715c513a48df27e90,0.49,0.5,0.010000000000000009,60.69,67.61,-0.05393608729540141,0.00919659652355856,1,0.09818277646785464,298.8,4,3,1,YES,0.7647942304611206
0x02b09dcff272a9f092a3d757d4ffdd83198f5b93941b3ef45ead3eb3a581223b,0.43999999999999995,0.55,0.010000000000000064,4.32,155.1,-0.9458035378246143,0.0003998204166616526,1,0.121190047816945,296.40000000000003,0,4,1,NO,0.619520902633667
0x02b2ad23bd5f00c3a78c344cf7cb8046e5f5e2fa344cb7268167f66f2f23ca19,0.52,0.47,0.010000000000000009,208.69,28.68,0.7583519400092682,0.009196582917651117,-1,0.1569263715120864,295.79999999999995,0,2,0,NONE,0.41764530539512634
0x02bde714069187b16795e80c5ef6aebd24a2bdefcac731df9bea15c27032ba05,0.495,0.495,0.010000000000000009,100.0,100.0,0.0,0.002030718119156264,1,0.0753188508471106,297.6,2,4,1,NO,0.47336214780807495
0x02c8ee2b47351ada8dc930bc4e3a82393b8808c63297dd0ab5a2923aa2c5c5cd,0.52,0.47,0.010000000000000009,151.85,585.93,-0.5883596736154408,0.0,1,0.09511257076800748,295.79999999999995,13,2,0,NONE,0.5797818303108215
0x02ce70493472bfaedacf96465af64b69ef3639b4ce58b77c6a8f47563c8ebb8e,0.49,0.5,0.010000000000000009,103.12,314.06,-0.5056330600699938,0.0,1,0.08958584093272158,295.2,1,4,1,YES,0.6128802299499512
0x02dc62c41d76bc82a06f318952b396e348cb348cca8065c3a55ce2305e1f7daf,0.5,0.49,0.010000000000000009,69.48,364.15,-0.6795424670802296,0.00239800188890609,1,0.09315606232581938,297.0,1,0,0,NONE,0.5973381400108337
