market_id,timestamp,slug,ttr_seconds,spread_pct,spread_blocked_reason,yes_price_t0,no_price_t0,clob_spread_t0,yes_depth_t0,no_depth_t0,depth_imbalance_t0,price_velocity_30s,depth_trend_30s,btc_realized_vol_prior_30m,ttr_at_signal,market_hour_utc,day_of_week,shadow_signal_yes,shadow_prob_yes,shadow_kelly_yes,shadow_tier_yes,shadow_signal_no,shadow_prob_no,shadow_kelly_no,shadow_tier_no,actual_outcome,signal_direction
0xbda4444f954d2323a865c213a4b5cfdd971b910da6aabfcd6360445549c942ef,2026-06-10T10:15:04.597334+00:00,btc-updown-5m-1781086500,295.4,0.132167,TOO_WIDE,0.01,0.01,0.46,409.44,202.65,0.337838,0.0,0.0,1.010492,295.4,10,2,SKIP,0.379067,0.371,LOW,SKIP,0.304914,0.2959,LOW,LOSE,YES
0xbdee27921e0b502d4a077e535d02e12816bbf7291137e516a2bdea8f2e8c858b,2026-06-11T03:35:51.366109+00:00,btc-updown-5m-1781148900,248.6,0.596232,TOO_WIDE,0.01,0.01,0.52,76.31,118.56,-0.216821,-0.01633333,0.0,0.2821,248.6,3,3,SKIP,0.340579,0.3321,LOW,SKIP,0.414593,0.407,LOW,WIN,NO
0xbf10105f9afbd871f35849b2d21ac5365047c9c8e76ca28eeef1b6ba609592ee,2026-06-09T16:25:40.001278+00:00,btc-updown-5m-1781022300,260.0,0.129003,TOO_WIDE,0.01,0.01,0.61,51.07,19.46,0.448182,-0.01233333,0.0,0.524713,260.0,16,1,SKIP,0.353712,0.3454,LOW,SKIP,0.296389,0.2873,LOW,LOSE,YES
0xc0224ed469a31c55f056bc3cd132e5cde4d88abc49ddbcdd10b352f4dce35e38,2026-06-10T06:45:03.035735+00:00,btc-updown-5m-1781073900,297.0,0.523681,TOO_WIDE,0.01,0.01,0.5,58.77,145.25,-0.423897,0.0,0.0,0.294925,297.0,6,2,SKIP,0.288416,0.2792,LOW,SKIP,0.377122,0.3691,LOW,LOSE,NO
0xc0c7f10e3f23f3b9b517e005c868cdeb9c00fb47fc40974d317cfb9475142e1a,2026-06-09T18:45:59.220546+00:00,btc-updown-5m-1781030700,240.8,0.126742,TOO_WIDE,0.01,0.01,0.76,934.12,261.54,0.562517,-0.008,0.0,0.415776,240.8,18,1,SKIP,0.341125,0.3326,LOW,SKIP,0.310426,0.3015,LOW,WIN,YES
0xc208b94d1563fe6c0037f612c39027dd05efa38d4e70980560081b2c4399d4ae,2026-06-09T16:45:19.889912+00:00,btc-updown-5m-1781023500,280.1,0.13282,TOO_WIDE,0.01,0.01,0.59,311.01,506.62,-0.239235,-0.01333333,0.0,1.038099,280.1,16,1,SKIP,0.310426,0.3015,LOW,SKIP,0.385923,0.378,LOW,LOSE,NO
0xc2341a18aab8b51883b42d0756a84c4db4e5e55cef308a9e864b0990adf4487e,2026-06-09T15:02:23.300117+00:00,btc-updown-5m-1781017200,156.7,0.126589,TOO_WIDE,0.01,0.01,0.19,76.25,707.78,-0.805483,-0.02633333,0.0,0.520691,156.7,15,1,SKIP,0.316813,0.308,LOW,SKIP,0.336157,0.3276,LOW,WIN,NO
0xc8fb3ae4474f9a1eafc01d7fbc892c0698229b23f31a64e1fc42cbd292fb2d43,2026-06-08T12:22:48.048681+00:00,btc-updown-5m-1780921200,132.0,0.133035,TOO_WIDE,0.01,0.01,0.71,301.51,40.92,0.761006,-0.00666667,0.0,0.558196,132.0,12,0,SKIP,0.47227,0.4655,LOW,SKIP,0.40283,0.3951,LOW,WIN,YES
0xcbb5d77c6455384e541030c93c02ba77a6aae41cd90659e3fef550a5ed61fd13,2026-06-08T13:46:41.444444+00:00,btc-updown-5m-1780926300,198.6,0.125672,TOO_WIDE,0.01,0.01,0.84,1911.35,253.54,0.765773,-0.005,0.0,0.712314,198.6,13,0,SKIP,0.468066,0.4612,LOW,SKIP,0.409156,0.4015,LOW,WIN,YES
0xcc80468e75f4b3edbad37cc9cd573777b6a6dadb783d733ed6b810d4de54b761,2026-06-10T13:37:13.680648+00:00,btc-updown-5m-1781098500,166.3,0.172934,TOO_WIDE,0.01,0.01,0.93,1873.76,92.73,0.905694,-0.00166667,0.0,0.457198,166.3,13,2,SKIP,0.355992,0.3477,LOW,SKIP,0.314765,0.3059,LOW,WIN,YES
0xcd632ff85279de6291456fc88f3a887917af4c5c60982e6b0104ae25c0d288e1,2026-06-09T13:40:49.727438+00:00,btc-updown-5m-1781012400,250.3,0.19187,TOO_WIDE,0.01,0.01,0.49,692.01,227.55,0.505095,-0.01633333,0.0,0.463916,250.3,13,1,SKIP,0.353773,0.3454,LOW,SKIP,0.310426,0.3015,LOW,WIN,YES
0xcdc1853101ae3c2773d480e8f5ea1b0021387dbc9f638cc66529bff3c2b1f5b2,2026-06-10T19:30:43.512942+00:00,btc-updown-5m-1781119800,256.5,0.158622,TOO_WIDE,0.01,0.01,0.52,583.45,614.46,-0.02589,-0.01666667,0.0,0.473158,256.5,19,2,SKIP,0.29875,0.2897,LOW,SKIP,0.352712,0.3444,LOW,LOSE,NO
0xcde6cc3aef6d04c354738f6eb5f0d4ae704c64025903c2c2fb89f5e3831aeded,2026-06-08T08:58:48.537692+00:00,btc-updown-5m-1780908900,71.5,0.160182,TOO_WIDE,0.01,0.01,0.82,516.05,100.56,0.673834,-0.00666667,0.0,0.261336,71.5,8,0,SKIP,0.455578,0.4485,LOW,SKIP,0.40573,0.3981,LOW,WIN,YES
0xcf036aae52b6a35126c0c485b3e16a80ceea7144d60dc4145773bce7d992ac6b,2026-06-07T06:17:33.354093+00:00,btc-updown-5m-1780812900,146.6,0.174254,TOO_WIDE,0.01,0.01,0.88,817.97,43.8,0.898359,-0.004,0.0,0.222817,146.6,6,6,SKIP,0.346964,0.3385,LOW,SKIP,0.293191,0.2841,LOW,WIN,YES
0xcf2cc0228d97dc14bab951f73431c83516da9f6428b00e8d252fa2a86d2ead29,2026-06-11T04:25:02.232603+00:00,btc-updown-5m-1781151900,297.8,0.430793,TOO_WIDE,0.01,0.01,0.25,86.35,420.11,-0.65902,0.0,0.0,0.214437,297.8,4,3,SKIP,0.337262,0.3287,LOW,SKIP,0.357898,0.3496,LOW,LOSE,NO
0xcf2e4a52c2cffd8ca3758c7f59201d39c8a17149a1bd049e27022811d7e0017d,2026-06-10T07:05:55.648963+00:00,btc-updown-5m-1781075100,244.4,0.185231,TOO_WIDE,0.01,0.01,0.43,618.27,414.08,0.19779,-0.01833333,0.0,0.604644,244.4,7,2,SKIP,0.380752,0.3728,LOW,SKIP,0.306266,0.2973,LOW,WIN,YES
0xcf35a89696673902eb34a22710e1862a43aa0791698e1913381b08b5cbf73a64,2026-06-11T03:40:06.983761+00:00,btc-updown-5m-1781149200,293.0,0.475882,TOO_WIDE,0.01,0.01,0.48,173.98,450.44,-0.442757,-0.01466667,0.0,0.709835,293.0,3,3,SKIP,0.331903,0.3233,LOW,SKIP,0.396131,0.3883,LOW,WIN,NO
0xcfa56383dbec78b62cfb45b2aa72677fae9f999ba9dad1371c688557458db4a7,2026-06-10T10:56:40.297291+00:00,btc-updown-5m-1781088900,199.7,0.169358,TOO_WIDE,0.01,0.01,0.47,291.2,565.66,-0.320308,-0.01533333,0.0,0.237893,199.7,10,2,SKIP,0.306266,0.2973,LOW,SKIP,0.380752,0.3728,LOW,LOSE,NO
0xcfb8d0fd408220762774f6a6bedb2df98562312dce1f1991c7310472ac928b44,2026-06-11T04:35:09.477634+00:00,btc-updown-5m-1781152500,290.5,0.143669,TOO_WIDE,0.01,0.01,0.49,624.75,128.57,0.658667,-0.01633333,0.0,0.267115,290.5,4,3,SKIP,0.366742,0.3586,LOW,SKIP,0.338773,0.3302,LOW,WIN,YES
0xd0a60a4f0457112909c4a642b13bdeb203e2245614136a3580e777e2fb9c8d0c,2026-06-10T21:15:07.184474+00:00,btc-updown-5m-1781126100,292.8,0.134058,TOO_WIDE,0.01,0.01,0.57,170.57,336.67,-0.327474,-0.013,0.0,0.271869,292.8,21,2,SKIP,0.304858,0.2959,LOW,SKIP,0.371352,0.3632,LOW,LOSE,NO
0xd17fdbd7240f390de21a52de23a50760e0538fb34c5d0380b5e2e97ff11ead6b,2026-06-11T03:50:06.983510+00:00,btc-updown-5m-1781149800,293.0,0.201875,TOO_WIDE,0.495,0.495,0.01,100.0,100.0,0.0,0.00116667,0.0,0.704797,293.0,3,3,SKIP,0.611771,-0.0312,MEDIUM,SKIP,0.611771,-0.0312,MEDIUM,WIN,YES
0xd46b81d3af7c99ca55f4748bcb572a9077e3283f6d71ba4b3a34fec73c3fb222,2026-06-07T01:04:04.246538+00:00,btc-updown-5m-1780794000,55.8,0.156753,TOO_WIDE,0.01,0.01,0.96,8653.97,72.18,0.983458,0.0,0.0,0.183755,55.8,1,6,SKIP,0.347487,0.3391,LOW,SKIP,0.310519,0.3016,LOW,WIN,YES
0xd527e2f8370ee5eddda41523d7eaf204ff11b8286c7cdaaa735841ce0316f2e2,2026-06-08T13:40:03.785825+00:00,btc-updown-5m-1780926000,296.2,0.129934,TOO_WIDE,0.01,0.01,0.51,28.59,450.84,-0.880739,0.0,0.0,0.232971,296.2,13,0,SKIP,0.422836,0.4154,LOW,SKIP,0.513438,0.5072,LOW,LOSE,NO
0xd55c0f61a04c36e8f279f663b7871578c503a0e042069442bf13f1621902f94a,2026-06-07T05:18:01.159099+00:00,btc-updown-5m-1780809300,118.8,0.120308,TOO_WIDE,0.01,0.01,0.89,430.87,67.13,0.730404,-0.00666667,0.0,0.290034,118.8,5,6,SKIP,0.356295,0.348,LOW,SKIP,0.306187,0.2972,LOW,WIN,YES
0xd8cd00474e3ea501a4a70da7192e3b4721f6357b4fa5652f9c593ef360a72e51,2026-06-07T22:20:53.143942+00:00,btc-updown-5m-1780870800,246.9,0.182005,TOO_WIDE,0.01,0.01,0.49,201.24,201.16,0.000203,0.0,0.0,0.45,246.9,22,6,SKIP,0.309843,0.3009,LOW,SKIP,0.309843,0.3009,LOW,LOSE,YES
0xd99b05513bf85ca60fdd6ce9610c036567dc712a4241821d6cd0afa47d9912f4,2026-06-08T09:46:08.113321+00:00,btc-updown-5m-1780911900,231.9,0.145199,TOO_WIDE,0.01,0.01,0.62,1150.98,88.57,0.857098,-0.01166667,0.0,0.357428,231.9,9,0,SKIP,0.498226,0.4917,LOW,SKIP,0.427672,0.4203,LOW,WIN,YES
0xd9a7eb56f06f5b8cea497e9e50781e8be8fee39321b105ba19a4144f66d289e8,2026-06-10T07:00:05.953781+00:00,btc-updown-5m-1781074800,294.0,0.27732,TOO_WIDE,0.01,0.01,0.52,190.37,110.53,0.265338,-0.019,0.0,0.318442,294.0,7,2,SKIP,0.382765,0.3748,LOW,SKIP,0.312555,0.3037,LOW,WIN,YES
0xdc64ff35fe288d817800a973fdc46d112587b97de6aa9a35ca0088560346368a,2026-06-08T11:50:08.487975+00:00,btc-updown-5m-1780919400,291.5,0.155806,TOO_WIDE,0.01,0.01,0.57,197.38,369.55,-0.303701,-0.013,0.0,0.517744,291.5,11,0,SKIP,0.409156,0.4015,LOW,SKIP,0.522515,0.5163,LOW,WIN,NO
0xdd202fd7dcdadbdeb1cf5a893bcc2fa6f9ceb34aff15de08419a85677fff4925,2026-06-08T12:53:40.514759+00:00,btc-updown-5m-1780923000,79.5,0.126734,TOO_WIDE,0.01,0.01,0.64,24.83,331.98,-0.860823,-0.01266667,0.0,0.632295,79.5,12,0,SKIP,0.40283,0.3951,LOW,SKIP,0.491428,0.4849,LOW,WIN,NO
0xe15e08bc78034ceb18f1eaaaa542ad58130c976691cad80e6f64253316e931ae,2026-06-10T12:30:17.978151+00:00,btc-updown-5m-1781094600,282.0,0.161645,TOO_WIDE,0.01,0.01,0.85,546.75,28.65,0.900407,-0.005,0.0,0.32871,282.0,12,2,SKIP,0.348067,0.3396,LOW,SKIP,0.294106,0.285,LOW,WIN,YES
0xe1d6f1abc9010c4c6dd7bd92eceb663b3b70bb0c391bac9beb8e5bb2e175e550,2026-06-06T20:43:42.974458+00:00,btc-updown-5m-1780778400,77.0,0.164077,TOO_WIDE,0.01,0.01,0.33,55.51,978.36,-0.892621,-0.008,0.0,0.240081,77.0,20,5,SKIP,0.290406,0.2812,LOW,SKIP,0.343603,0.3351,LOW,LOSE,NO
0xe466620e5cacba2154558ff65601122eef53297859a2f35f6c33c2b8e227059f,2026-06-09T10:07:34.458978+00:00,btc-updown-5m-1780999500,145.5,0.138857,TOO_WIDE,0.01,0.01,0.08,68.5,1792.24,-0.92637,-0.03,0.0,0.138058,145.5,10,1,SKIP,0.487143,0.4805,LOW,SKIP,0.468498,0.4616,LOW,LOSE,YES
0xe6ec01319fdbc137ef6f21800fed6086855dcbd5c23952b21fb41ddddaa5d4f8,2026-06-09T15:46:11.592498+00:00,btc-updown-5m-1781019900,228.4,0.18553,TOO_WIDE,0.495,0.495,0.01,100.0,100.0,0.0,0.00616667,0.0,0.33105,228.4,15,1,SKIP,0.470779,-0.4057,LOW,SKIP,0.470779,-0.4057,LOW,WIN,YES
0xe86ba952aeef4ae0a8da28db4ca83ce73398f2c88c0e4a8ed0a08c6df3c524ff,2026-06-10T13:46:38.893332+00:00,btc-updown-5m-1781099100,201.1,0.134396,TOO_WIDE,0.01,0.01,0.25,105.37,901.18,-0.790639,-0.02366667,0.0,0.849934,201.1,13,2,SKIP,0.304858,0.2959,LOW,SKIP,0.32991,0.3213,LOW,LOSE,NO
0xea151334ce80aef381553340e38aa98453508320da5bbda9af875e740112a946,2026-06-07T22:15:24.662631+00:00,btc-updown-5m-1780870500,275.3,0.444307,TOO_WIDE,0.01,0.01,0.46,183.04,132.86,0.158829,-0.01733333,0.0,0.464225,275.3,22,6,SKIP,0.368554,0.3604,LOW,SKIP,0.300994,0.292,LOW,LOSE,YES
0xea930316d9cddff6dfab16ecaa6cbb93f5d4df2983d2bdfa8bf19387fdfe07b6,2026-06-10T20:02:33.662552+00:00,btc-updown-5m-1781121600,146.3,0.125846,TOO_WIDE,0.01,0.01,0.11,104.58,1192.97,-0.838808,-0.029,0.0,0.278153,146.3,20,2,SKIP,0.304858,0.2959,LOW,SKIP,0.32991,0.3213,LOW,WIN,NO
0xeb260474da446e7f4c4bc011d32e55b1b7062b59bb21ab7a5f5c65348aab23d9,2026-06-10T19:12:50.051117+00:00,btc-updown-5m-1781118600,129.9,0.124545,TOO_WIDE,0.01,0.01,0.02,28.58,5498.41,-0.989656,-0.03133333,0.0,0.433704,129.9,19,2,SKIP,0.285572,0.2763,LOW,SKIP,0.337751,0.3292,LOW,WIN,NO
0xeb36b66f6fb1fa3f5347330c02fd71bd84210e8d9c80ebbf23b12edffcb2d93e,2026-06-10T11:05:46.725800+00:00,btc-updown-5m-1781089500,253.3,0.125814,TOO_WIDE,0.01,0.01,0.67,416.06,627.1,-0.202304,-0.012,0.0,0.397469,253.3,11,2,SKIP,0.29875,0.2897,LOW,SKIP,0.371352,0.3632,LOW,LOSE,NO
0xeb8a89be3229d1e6b53ba479c7ebaad3462289193321b191d25f33bbff858ea1,2026-06-09T16:35:54.267450+00:00,btc-updown-5m-1781022900,245.7,0.128666,TOO_WIDE,0.01,0.01,0.67,466.18,358.09,0.131133,-0.011,0.0,0.274249,245.7,16,1,SKIP,0.385923,0.378,LOW,SKIP,0.310426,0.3015,LOW,WIN,YES
0xec9880645acf7a4f39da643c09e0f25b2ab4e3313041b5e8240776fca0ff71e0,2026-06-10T19:24:22.835872+00:00,btc-updown-5m-1781119200,37.2,0.13919,TOO_WIDE,0.01,0.01,0.24,29.85,1579.93,-0.962914,-0.02466667,0.0,0.560465,37.2,19,2,SKIP,0.294106,0.285,LOW,SKIP,0.348067,0.3396,LOW,LOSE,NO
0xecd305146ca88131562136378d555c9fe5723f24d5727582a30a8ec534cd2aa5,2026-06-08T13:23:35.400191+00:00,btc-updown-5m-1780924800,84.6,0.143055,TOO_WIDE,0.495,0.495,0.01,100.0,100.0,0.0,0.0135,0.0,0.948602,84.6,13,0,SKIP,0.384318,-0.6353,LOW,SKIP,0.384318,-0.6353,LOW,LOSE,YES
